"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
27,"No","Travel_Frequently",1297,"Research & Development",5,2,"Life Sciences",1850,4,"Female",53,3,1,"Laboratory Technician",4,"Single",2379,19826,0,"Yes",14,3,3,0,6,3,2,5,4,0,2
35,"No","Travel_Frequently",1182,"Sales",11,2,"Marketing",1137,4,"Male",54,3,2,"Sales Executive",4,"Divorced",4968,18500,1,"No",11,3,4,1,5,3,3,5,2,0,2
46,"No","Travel_Rarely",1402,"Sales",2,3,"Marketing",1204,3,"Female",69,3,4,"Manager",1,"Married",17048,24097,8,"No",23,4,1,0,28,2,3,26,15,15,9
43,"No","Travel_Frequently",185,"Research & Development",10,4,"Life Sciences",430,3,"Female",33,3,1,"Laboratory Technician",4,"Single",2455,10675,0,"No",19,3,1,0,9,5,3,8,7,1,7
34,"No","Travel_Rarely",167,"Research & Development",8,5,"Life Sciences",775,2,"Female",32,3,2,"Manufacturing Director",1,"Divorced",5121,4187,3,"No",14,3,3,1,7,3,3,0,0,0,0
32,"No","Travel_Rarely",646,"Research & Development",9,4,"Life Sciences",679,1,"Female",92,3,2,"Research Scientist",4,"Married",6322,18089,1,"Yes",12,3,4,1,6,2,2,6,4,0,5
55,"No","Travel_Rarely",1311,"Research & Development",2,3,"Life Sciences",505,3,"Female",97,3,4,"Manager",4,"Single",16659,23258,2,"Yes",13,3,3,0,30,2,3,5,4,1,2
40,"No","Travel_Frequently",720,"Research & Development",16,4,"Medical",832,1,"Male",51,2,2,"Laboratory Technician",3,"Single",5094,11983,6,"No",14,3,4,0,10,6,3,1,0,0,0
44,"No","Travel_Rarely",625,"Research & Development",4,3,"Medical",852,4,"Male",50,3,2,"Healthcare Representative",2,"Single",5933,5197,9,"No",12,3,4,0,10,2,2,5,2,2,3
22,"No","Travel_Rarely",581,"Research & Development",1,2,"Life Sciences",2007,4,"Male",63,3,1,"Research Scientist",3,"Single",3375,17624,0,"No",12,3,4,0,4,2,4,3,2,1,2
18,"No","Travel_Rarely",812,"Sales",10,3,"Medical",411,4,"Female",69,2,1,"Sales Representative",3,"Single",1200,9724,1,"No",12,3,1,0,0,2,3,0,0,0,0
36,"No","Travel_Rarely",852,"Research & Development",5,4,"Life Sciences",51,2,"Female",82,2,1,"Research Scientist",1,"Married",3419,13072,9,"Yes",14,3,4,1,6,3,4,1,1,0,0
32,"No","Travel_Frequently",689,"Sales",9,2,"Medical",195,4,"Male",35,1,2,"Sales Executive",4,"Divorced",4668,22812,0,"No",17,3,4,3,9,2,4,8,7,0,7
33,"No","Travel_Rarely",1099,"Research & Development",4,4,"Medical",1502,1,"Female",82,2,1,"Laboratory Technician",2,"Married",3838,8192,8,"No",11,3,4,0,8,5,3,5,4,0,2
36,"No","Travel_Frequently",884,"Research & Development",23,2,"Medical",2061,3,"Male",41,4,2,"Laboratory Technician",4,"Married",2571,12290,4,"No",17,3,3,1,17,3,3,5,2,0,3
32,"No","Travel_Rarely",859,"Research & Development",4,3,"Life Sciences",830,3,"Female",98,2,2,"Manufacturing Director",3,"Married",6162,19124,1,"No",12,3,3,1,14,3,3,14,13,6,8
38,"No","Travel_Frequently",653,"Research & Development",29,5,"Life Sciences",79,4,"Female",50,3,2,"Laboratory Technician",4,"Single",2406,5456,1,"No",11,3,4,0,10,2,3,10,3,9,9
52,"No","Travel_Rarely",994,"Research & Development",7,4,"Life Sciences",1118,2,"Male",87,3,3,"Healthcare Representative",2,"Single",10445,15322,7,"No",19,3,4,0,18,4,3,8,6,4,0
26,"No","Travel_Rarely",1384,"Research & Development",3,4,"Medical",1177,1,"Male",82,4,1,"Laboratory Technician",4,"Married",4420,13421,1,"No",22,4,2,1,8,2,3,8,7,0,7
38,"No","Travel_Rarely",827,"Research & Development",1,4,"Life Sciences",724,2,"Female",33,4,2,"Healthcare Representative",4,"Single",7625,19383,0,"No",13,3,3,0,10,4,2,9,7,1,8
49,"No","Travel_Rarely",1418,"Research & Development",1,3,"Technical Degree",887,3,"Female",36,3,1,"Research Scientist",1,"Married",3580,10554,2,"No",16,3,2,1,7,2,3,4,2,0,2
32,"No","Travel_Rarely",859,"Research & Development",4,3,"Life Sciences",830,3,"Female",98,2,2,"Manufacturing Director",3,"Married",6162,19124,1,"No",12,3,3,1,14,3,3,14,13,6,8
56,"No","Travel_Rarely",1369,"Research & Development",23,3,"Life Sciences",1373,4,"Male",68,3,4,"Manufacturing Director",2,"Married",13402,18235,4,"Yes",12,3,1,1,33,0,3,19,16,15,9
26,"No","Travel_Rarely",933,"Sales",1,3,"Life Sciences",476,3,"Male",57,3,2,"Sales Executive",3,"Married",5296,20156,1,"No",17,3,2,1,8,3,3,8,7,7,7
34,"No","Travel_Rarely",1346,"Research & Development",19,2,"Medical",18,2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",2661,8758,0,"No",11,3,3,1,3,2,3,2,2,1,2
32,"No","Travel_Rarely",128,"Research & Development",2,1,"Technical Degree",362,4,"Male",84,2,2,"Laboratory Technician",1,"Single",2176,19737,4,"No",13,3,4,0,9,5,3,6,2,0,4
31,"No","Travel_Rarely",326,"Sales",8,2,"Life Sciences",1453,1,"Male",31,3,3,"Sales Executive",4,"Divorced",10793,8386,1,"No",18,3,1,1,13,5,3,13,7,9,9
24,"No","Travel_Rarely",691,"Research & Development",23,3,"Medical",639,2,"Male",89,4,1,"Research Scientist",4,"Married",2725,21630,1,"Yes",11,3,2,2,6,3,3,6,5,1,4
36,"No","Travel_Rarely",796,"Research & Development",12,5,"Medical",1073,4,"Female",51,2,3,"Manufacturing Director",4,"Single",8858,15669,0,"No",11,3,2,0,15,2,2,14,8,7,8
32,"No","Travel_Frequently",1311,"Research & Development",7,3,"Life Sciences",359,2,"Male",100,4,1,"Laboratory Technician",2,"Married",2794,26062,1,"No",20,4,3,0,5,3,1,5,1,0,3
53,"No","Travel_Rarely",1395,"Research & Development",24,4,"Medical",1689,2,"Male",48,4,3,"Healthcare Representative",4,"Married",7005,3458,3,"No",15,3,3,0,11,2,3,4,3,1,2
46,"No","Travel_Rarely",1319,"Sales",3,3,"Technical Degree",1863,1,"Female",45,4,4,"Sales Executive",1,"Divorced",13225,7739,2,"No",12,3,4,1,25,5,3,19,17,2,8
49,"No","Travel_Frequently",1023,"Sales",2,3,"Medical",2065,4,"Male",63,2,2,"Sales Executive",2,"Married",5390,13243,2,"No",14,3,4,0,17,3,2,9,6,0,8
48,"No","Travel_Rarely",715,"Research & Development",1,3,"Life Sciences",1263,4,"Male",76,2,5,"Research Director",4,"Single",18265,8733,6,"No",12,3,3,0,25,3,4,1,0,0,0
31,"No","Travel_Frequently",715,"Sales",2,4,"Other",1613,4,"Male",54,3,2,"Sales Executive",1,"Single",5332,21602,7,"No",13,3,4,0,10,3,3,5,2,0,3
34,"No","Non-Travel",999,"Research & Development",26,1,"Technical Degree",1374,1,"Female",92,2,1,"Research Scientist",3,"Divorced",2029,15891,1,"No",20,4,3,3,5,2,3,5,4,0,0
32,"No","Travel_Rarely",371,"Sales",19,3,"Life Sciences",1739,4,"Male",80,1,3,"Sales Executive",3,"Married",9610,3840,3,"No",13,3,3,1,10,2,1,4,3,0,2
46,"No","Travel_Rarely",526,"Sales",1,2,"Marketing",244,2,"Female",92,3,3,"Sales Executive",1,"Divorced",10453,2137,1,"No",25,4,3,3,24,2,3,24,13,15,7
46,"No","Travel_Rarely",706,"Research & Development",2,2,"Life Sciences",1857,4,"Male",82,3,3,"Manufacturing Director",4,"Divorced",8578,19989,3,"No",14,3,3,1,12,4,2,9,8,4,7
30,"No","Non-Travel",641,"Sales",25,2,"Technical Degree",475,4,"Female",85,3,2,"Sales Executive",3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2
30,"No","Travel_Rarely",201,"Research & Development",5,3,"Technical Degree",197,4,"Female",84,3,1,"Research Scientist",1,"Divorced",3204,10415,5,"No",14,3,4,1,8,3,3,3,2,2,2
59,"No","Travel_Rarely",142,"Research & Development",3,3,"Life Sciences",309,3,"Male",70,2,1,"Research Scientist",4,"Married",2177,8456,3,"No",17,3,1,1,7,6,3,1,0,0,0
38,"No","Non-Travel",1327,"Sales",2,2,"Life Sciences",361,4,"Male",39,2,2,"Sales Executive",4,"Married",5249,19682,3,"No",18,3,4,1,13,0,3,8,7,7,5
43,"No","Travel_Rarely",177,"Research & Development",8,3,"Life Sciences",920,1,"Female",55,3,2,"Manufacturing Director",2,"Divorced",4765,23814,4,"No",21,4,3,1,4,2,4,1,0,0,0
41,"No","Travel_Rarely",802,"Sales",9,1,"Life Sciences",176,3,"Male",96,3,3,"Sales Executive",3,"Divorced",8189,21196,3,"Yes",13,3,3,1,12,2,3,9,7,0,7
51,"No","Travel_Rarely",432,"Research & Development",9,4,"Life Sciences",116,4,"Male",96,3,1,"Laboratory Technician",4,"Married",2075,18725,3,"No",23,4,2,2,10,4,3,4,2,0,3
45,"No","Travel_Rarely",252,"Research & Development",1,3,"Other",336,3,"Male",70,4,5,"Manager",4,"Married",19202,15970,0,"No",11,3,3,1,25,2,3,24,0,1,7
34,"No","Travel_Rarely",943,"Research & Development",9,3,"Life Sciences",1344,4,"Male",86,3,3,"Healthcare Representative",4,"Divorced",8500,5494,0,"No",11,3,4,1,10,0,2,9,7,1,6
30,"No","Non-Travel",990,"Research & Development",7,3,"Technical Degree",1482,3,"Male",64,3,1,"Research Scientist",3,"Divorced",1274,7152,1,"No",13,3,2,2,1,2,2,1,0,0,0
41,"No","Travel_Rarely",1276,"Sales",2,5,"Life Sciences",625,2,"Female",91,3,4,"Manager",1,"Married",16595,5626,7,"No",16,3,2,1,22,2,3,18,16,11,8
36,"No","Travel_Rarely",430,"Research & Development",2,4,"Other",1847,4,"Female",73,3,2,"Research Scientist",2,"Married",6962,19573,4,"Yes",22,4,4,1,15,2,3,1,0,0,0
34,"No","Non-Travel",1065,"Sales",23,4,"Marketing",60,2,"Male",72,3,2,"Sales Executive",3,"Single",4568,10034,0,"No",20,4,3,0,10,2,3,9,5,8,7
36,"No","Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",97,2,"Female",55,4,1,"Laboratory Technician",4,"Married",3038,22002,3,"No",12,3,2,0,5,3,3,1,0,0,0
38,"No","Travel_Rarely",119,"Sales",3,3,"Life Sciences",307,1,"Male",76,3,3,"Sales Executive",3,"Divorced",10609,9647,0,"No",12,3,3,2,17,6,2,16,10,5,13
45,"No","Travel_Rarely",1038,"Research & Development",20,3,"Medical",1460,2,"Male",95,1,3,"Healthcare Representative",1,"Divorced",10851,19863,2,"Yes",18,3,2,1,24,2,3,7,7,0,7
31,"No","Travel_Rarely",311,"Research & Development",20,3,"Life Sciences",1881,2,"Male",89,3,2,"Laboratory Technician",3,"Divorced",4197,18624,1,"No",11,3,1,1,10,2,3,10,8,0,2
33,"No","Travel_Rarely",217,"Sales",10,4,"Marketing",1924,2,"Male",43,3,2,"Sales Executive",3,"Single",5487,10410,1,"No",14,3,2,0,10,2,2,10,4,0,9
38,"No","Travel_Frequently",216,"Research & Development",23,3,"Life Sciences",12,4,"Male",44,2,3,"Manufacturing Director",3,"Single",9526,8787,0,"No",21,4,2,0,10,2,3,9,7,1,8
24,"No","Travel_Rarely",581,"Research & Development",9,3,"Medical",1707,3,"Male",62,4,1,"Research Scientist",3,"Married",4401,17616,1,"No",16,3,4,1,5,1,3,5,3,0,4
28,"No","Travel_Rarely",1179,"Research & Development",19,4,"Medical",1216,4,"Male",78,2,1,"Laboratory Technician",1,"Married",3196,12449,1,"No",12,3,3,3,6,2,3,6,5,3,3
29,"No","Travel_Rarely",1329,"Research & Development",7,3,"Life Sciences",1260,3,"Male",82,3,2,"Healthcare Representative",4,"Divorced",6623,4204,1,"Yes",11,3,2,2,6,2,3,6,0,1,0
46,"No","Travel_Frequently",638,"Research & Development",1,3,"Medical",124,3,"Male",40,2,3,"Healthcare Representative",1,"Married",10673,3142,2,"Yes",13,3,3,1,21,5,2,10,9,9,5
37,"No","Travel_Frequently",889,"Research & Development",9,3,"Medical",403,2,"Male",53,3,1,"Research Scientist",4,"Married",2326,11411,1,"Yes",12,3,3,3,4,3,2,4,2,1,2
39,"No","Travel_Rarely",1329,"Sales",4,4,"Life Sciences",182,4,"Female",47,2,2,"Sales Executive",3,"Married",5902,14590,4,"No",14,3,3,1,17,1,4,15,11,5,9
35,"No","Travel_Rarely",1029,"Research & Development",16,3,"Life Sciences",1529,4,"Female",91,2,3,"Healthcare Representative",2,"Single",8606,21195,1,"No",19,3,4,0,11,3,1,11,8,3,3
26,"No","Travel_Rarely",1355,"Human Resources",25,1,"Life Sciences",177,3,"Female",61,3,1,"Human Resources",3,"Married",2942,8916,1,"No",23,4,4,1,8,3,3,8,7,5,7
36,"No","Non-Travel",1105,"Research & Development",24,4,"Life Sciences",419,2,"Female",47,3,2,"Laboratory Technician",2,"Married",5674,6927,7,"No",15,3,3,1,11,3,3,9,8,0,8
33,"No","Travel_Rarely",134,"Research & Development",2,3,"Life Sciences",242,3,"Male",90,3,1,"Research Scientist",4,"Single",2500,10515,0,"No",14,3,1,0,4,2,4,3,1,0,2
38,"No","Travel_Rarely",1245,"Sales",14,3,"Life Sciences",1582,3,"Male",80,3,2,"Sales Executive",2,"Married",9924,12355,0,"No",11,3,4,1,10,3,3,9,8,7,7
29,"No","Travel_Rarely",469,"Sales",10,3,"Medical",1650,3,"Male",42,2,2,"Sales Executive",3,"Single",5869,23413,9,"No",11,3,3,0,8,2,3,5,2,1,4
31,"No","Travel_Frequently",1125,"Research & Development",1,3,"Life Sciences",1956,4,"Male",48,1,2,"Research Scientist",1,"Married",5003,5771,1,"No",21,4,2,0,10,6,3,10,8,8,7
29,"No","Travel_Frequently",490,"Research & Development",10,3,"Life Sciences",1143,4,"Female",61,3,1,"Research Scientist",2,"Divorced",3291,17940,0,"No",14,3,4,2,8,2,2,7,5,1,1
38,"No","Travel_Frequently",693,"Research & Development",7,3,"Life Sciences",1382,4,"Male",57,4,1,"Research Scientist",3,"Divorced",2610,15748,1,"No",11,3,4,3,4,2,3,4,2,0,3
32,"No","Travel_Rarely",267,"Research & Development",29,4,"Life Sciences",2010,3,"Female",49,2,1,"Laboratory Technician",2,"Single",2837,15919,1,"No",13,3,3,0,6,3,3,6,2,4,1
26,"No","Travel_Rarely",572,"Sales",10,3,"Medical",1836,3,"Male",46,3,2,"Sales Executive",4,"Single",4684,9125,1,"No",13,3,1,0,5,4,3,5,3,1,2
59,"No","Travel_Rarely",715,"Research & Development",2,3,"Life Sciences",1032,3,"Female",69,2,4,"Manufacturing Director",4,"Single",13726,21829,3,"Yes",13,3,1,0,30,4,3,5,3,4,3
41,"No","Travel_Rarely",314,"Human Resources",1,3,"Human Resources",734,4,"Male",59,2,5,"Manager",3,"Married",19189,19562,1,"No",12,3,2,1,22,3,3,22,7,2,10
42,"No","Travel_Rarely",419,"Sales",12,4,"Marketing",1943,2,"Male",77,3,2,"Sales Executive",4,"Divorced",5087,2900,3,"Yes",12,3,3,2,14,4,3,0,0,0,0
37,"No","Travel_Rarely",397,"Research & Development",7,4,"Medical",102,1,"Male",30,3,3,"Research Director",3,"Single",13664,25258,4,"No",13,3,1,0,16,3,4,5,2,0,2
53,"No","Travel_Rarely",1219,"Sales",2,4,"Life Sciences",23,1,"Female",78,2,4,"Manager",4,"Married",15427,22021,2,"No",16,3,3,0,31,3,3,25,8,3,7
57,"No","Travel_Rarely",334,"Research & Development",24,2,"Life Sciences",223,3,"Male",83,4,3,"Healthcare Representative",4,"Divorced",9439,23402,3,"Yes",16,3,2,1,12,2,1,5,3,1,4
38,"No","Travel_Frequently",508,"Research & Development",6,4,"Life Sciences",1997,1,"Male",72,2,2,"Manufacturing Director",3,"Married",5321,14284,2,"No",11,3,4,1,10,1,3,8,3,7,7
46,"No","Travel_Rarely",1402,"Sales",2,3,"Marketing",1204,3,"Female",69,3,4,"Manager",1,"Married",17048,24097,8,"No",23,4,1,0,28,2,3,26,15,15,9
28,"No","Travel_Rarely",821,"Sales",5,4,"Medical",916,1,"Male",98,3,2,"Sales Executive",4,"Single",4908,24252,1,"No",14,3,2,0,4,3,3,4,2,0,2
42,"No","Travel_Rarely",300,"Research & Development",2,3,"Life Sciences",2031,1,"Male",56,3,5,"Manager",3,"Married",18880,17312,5,"No",11,3,1,0,24,2,2,22,6,4,14
49,"No","Travel_Frequently",279,"Research & Development",8,1,"Life Sciences",2,3,"Male",61,2,2,"Research Scientist",2,"Married",5130,24907,1,"No",23,4,4,1,10,3,3,10,7,1,7
50,"No","Travel_Rarely",813,"Research & Development",17,5,"Life Sciences",1656,4,"Female",50,2,3,"Research Director",1,"Divorced",13269,21981,5,"No",15,3,3,3,19,3,3,14,11,1,11
43,"No","Travel_Frequently",394,"Sales",26,2,"Life Sciences",158,3,"Male",92,3,4,"Manager",4,"Married",16959,19494,1,"Yes",12,3,4,2,25,3,4,25,12,4,12
23,"No","Travel_Rarely",1309,"Research & Development",26,1,"Life Sciences",465,3,"Male",83,3,1,"Research Scientist",4,"Divorced",2904,16092,1,"No",12,3,3,2,4,2,2,4,2,0,2
44,"No","Travel_Rarely",1448,"Sales",28,3,"Medical",1039,4,"Female",53,4,4,"Sales Executive",4,"Married",13320,11737,3,"Yes",18,3,3,1,23,2,3,12,11,11,11
30,"No","Travel_Rarely",305,"Research & Development",16,3,"Life Sciences",1763,3,"Male",58,4,2,"Healthcare Representative",3,"Married",5294,9128,3,"No",16,3,3,1,10,3,3,7,0,1,7
42,"No","Travel_Rarely",462,"Sales",14,2,"Medical",936,3,"Female",68,2,2,"Sales Executive",3,"Single",6244,7824,7,"No",17,3,1,0,10,6,3,5,4,0,3
28,"No","Travel_Rarely",995,"Research & Development",9,3,"Medical",930,3,"Female",77,3,1,"Research Scientist",3,"Divorced",2377,9834,5,"No",18,3,2,1,6,2,3,2,2,2,2
43,"No","Travel_Rarely",920,"Research & Development",3,3,"Life Sciences",1255,3,"Male",96,1,5,"Research Director",4,"Married",19740,18625,3,"No",14,3,2,1,25,2,3,8,7,0,7
49,"No","Travel_Rarely",722,"Research & Development",25,4,"Life Sciences",1617,3,"Female",84,3,1,"Laboratory Technician",1,"Married",3211,22102,1,"No",14,3,4,1,10,3,2,9,6,1,4
37,"No","Travel_Rarely",1225,"Research & Development",10,2,"Life Sciences",715,4,"Male",80,4,1,"Research Scientist",4,"Single",4680,15232,3,"No",17,3,1,0,4,2,3,1,0,0,0
57,"No","Travel_Rarely",405,"Research & Development",1,2,"Life Sciences",1483,2,"Male",93,4,2,"Research Scientist",3,"Married",4900,2721,0,"No",24,4,1,1,13,2,2,12,9,2,8
39,"No","Travel_Rarely",408,"Research & Development",2,4,"Technical Degree",721,4,"Female",80,2,2,"Healthcare Representative",3,"Single",4553,20978,1,"No",11,3,1,0,20,4,3,20,7,11,10
32,"No","Travel_Rarely",827,"Research & Development",1,1,"Life Sciences",134,4,"Male",71,3,1,"Research Scientist",1,"Single",2956,15178,1,"No",13,3,4,0,1,2,3,1,0,0,0
33,"No","Travel_Rarely",1075,"Human Resources",3,2,"Human Resources",910,4,"Male",57,3,1,"Human Resources",2,"Divorced",2277,22650,3,"Yes",11,3,3,1,7,4,4,4,3,0,3
45,"No","Travel_Rarely",192,"Research & Development",10,2,"Life Sciences",544,1,"Male",69,3,1,"Research Scientist",4,"Married",2654,9655,3,"No",21,4,4,2,8,3,2,2,2,0,2
39,"No","Travel_Frequently",766,"Sales",20,3,"Life Sciences",1812,3,"Male",83,3,2,"Sales Executive",4,"Divorced",4127,19188,2,"No",18,3,4,1,7,6,3,2,1,2,2
25,"No","Travel_Rarely",1280,"Research & Development",7,1,"Medical",143,4,"Male",64,2,1,"Research Scientist",4,"Married",2889,26897,1,"No",11,3,3,2,2,2,3,2,2,2,1
44,"No","Travel_Rarely",921,"Research & Development",2,3,"Life Sciences",1703,3,"Female",96,4,3,"Healthcare Representative",4,"Married",7879,14810,1,"Yes",19,3,2,1,9,2,3,8,7,6,7
41,"No","Travel_Rarely",465,"Research & Development",14,3,"Life Sciences",227,1,"Male",56,3,1,"Research Scientist",3,"Divorced",2451,4609,4,"No",12,3,1,1,13,2,3,9,8,1,8
53,"No","Non-Travel",661,"Research & Development",1,4,"Medical",1775,1,"Female",60,2,4,"Manufacturing Director",3,"Married",12965,22308,4,"Yes",20,4,4,3,27,2,2,3,2,0,2
44,"No","Non-Travel",111,"Research & Development",17,3,"Life Sciences",1206,4,"Male",74,1,1,"Research Scientist",3,"Single",2290,4279,2,"No",13,3,4,0,6,3,3,0,0,0,0
20,"No","Travel_Rarely",805,"Research & Development",3,3,"Life Sciences",1198,1,"Male",87,2,1,"Laboratory Technician",3,"Single",3033,12828,1,"No",12,3,1,0,2,2,2,2,2,1,2
29,"No","Travel_Rarely",942,"Research & Development",15,1,"Life Sciences",1202,2,"Female",69,1,1,"Research Scientist",4,"Married",2168,26933,0,"Yes",18,3,1,1,6,2,2,5,4,1,3
21,"No","Travel_Rarely",501,"Sales",5,1,"Medical",2021,3,"Male",58,3,1,"Sales Representative",1,"Single",2380,25479,1,"Yes",11,3,4,0,2,6,3,2,2,1,2
29,"No","Travel_Rarely",144,"Sales",10,1,"Marketing",463,4,"Female",39,2,2,"Sales Executive",2,"Divorced",8268,11866,1,"Yes",14,3,1,2,7,2,3,7,7,1,7
30,"No","Non-Travel",1400,"Research & Development",3,3,"Life Sciences",562,3,"Male",53,3,1,"Laboratory Technician",4,"Married",2097,16734,4,"No",15,3,3,1,9,3,1,5,3,1,4
46,"No","Travel_Rarely",706,"Research & Development",2,2,"Life Sciences",1857,4,"Male",82,3,3,"Manufacturing Director",4,"Divorced",8578,19989,3,"No",14,3,3,1,12,4,2,9,8,4,7
47,"No","Non-Travel",1162,"Research & Development",1,1,"Medical",2000,3,"Female",98,3,3,"Research Director",2,"Married",11957,17231,0,"No",18,3,1,2,14,3,1,13,8,5,12
33,"No","Travel_Rarely",461,"Research & Development",13,1,"Life Sciences",995,2,"Female",53,3,1,"Research Scientist",4,"Single",3452,17241,3,"No",18,3,1,0,5,4,3,3,2,0,2
42,"No","Travel_Frequently",1368,"Research & Development",28,4,"Technical Degree",551,4,"Female",88,2,2,"Healthcare Representative",4,"Married",4523,4386,0,"No",11,3,4,3,7,4,4,6,5,0,4
49,"No","Travel_Frequently",636,"Research & Development",10,4,"Life Sciences",396,3,"Female",35,3,5,"Research Director",1,"Single",18665,25594,9,"Yes",11,3,4,0,22,4,3,3,2,1,2
35,"No","Travel_Rarely",1258,"Research & Development",1,4,"Life Sciences",826,4,"Female",40,4,1,"Research Scientist",3,"Single",2506,13301,3,"No",13,3,3,0,7,0,3,2,2,2,2
36,"No","Travel_Rarely",557,"Sales",3,3,"Medical",2024,1,"Female",94,2,3,"Sales Executive",4,"Married",7644,12695,0,"No",19,3,3,2,10,2,3,9,7,3,4
26,"No","Travel_Rarely",474,"Research & Development",3,3,"Life Sciences",1581,1,"Female",89,3,1,"Research Scientist",4,"Married",2061,11133,1,"No",21,4,1,0,1,5,3,1,0,0,0
24,"No","Travel_Rarely",581,"Research & Development",9,3,"Medical",1707,3,"Male",62,4,1,"Research Scientist",3,"Married",4401,17616,1,"No",16,3,4,1,5,1,3,5,3,0,4
31,"No","Travel_Rarely",311,"Research & Development",20,3,"Life Sciences",1881,2,"Male",89,3,2,"Laboratory Technician",3,"Divorced",4197,18624,1,"No",11,3,1,1,10,2,3,10,8,0,2
55,"No","Travel_Rarely",692,"Research & Development",14,4,"Medical",254,3,"Male",61,4,5,"Research Director",2,"Single",18722,13339,8,"No",11,3,4,0,36,3,3,24,15,2,15
30,"No","Travel_Rarely",1465,"Research & Development",1,3,"Medical",1241,4,"Male",63,3,1,"Research Scientist",2,"Married",3579,9369,0,"Yes",21,4,1,1,12,2,3,11,9,5,7
33,"No","Non-Travel",722,"Sales",17,3,"Life Sciences",992,4,"Male",38,3,4,"Manager",3,"Single",17444,20489,1,"No",11,3,4,0,10,2,3,10,8,6,0
34,"No","Travel_Rarely",1157,"Research & Development",5,2,"Medical",1696,2,"Male",57,2,2,"Laboratory Technician",4,"Married",3986,11912,1,"No",14,3,3,1,15,3,4,15,10,4,13
44,"No","Travel_Rarely",1099,"Sales",5,3,"Marketing",1267,2,"Male",88,3,5,"Manager",2,"Married",18213,8751,7,"No",11,3,3,1,26,5,3,22,9,3,10
54,"No","Travel_Rarely",1217,"Research & Development",2,4,"Technical Degree",126,1,"Female",60,3,3,"Research Director",3,"Married",13549,24001,9,"No",12,3,1,1,16,5,1,4,3,0,3
48,"No","Travel_Rarely",1236,"Research & Development",1,4,"Life Sciences",664,4,"Female",40,2,4,"Manager",1,"Married",15402,17997,7,"No",11,3,1,1,21,3,1,3,2,0,2
47,"No","Travel_Rarely",1454,"Sales",2,4,"Life Sciences",925,4,"Female",65,2,1,"Sales Representative",4,"Single",3294,13137,1,"Yes",18,3,1,0,3,3,2,3,2,1,2
34,"No","Travel_Frequently",669,"Research & Development",1,3,"Medical",1184,4,"Male",97,2,2,"Healthcare Representative",1,"Single",5343,25755,0,"No",20,4,3,0,14,3,3,13,9,4,9
25,"No","Travel_Rarely",959,"Sales",28,3,"Life Sciences",183,1,"Male",41,2,2,"Sales Executive",3,"Married",8639,24835,2,"No",18,3,4,0,6,3,3,2,2,2,2
30,"No","Travel_Rarely",288,"Research & Development",2,3,"Life Sciences",117,3,"Male",99,2,2,"Healthcare Representative",4,"Married",4152,15830,1,"No",19,3,1,3,11,3,3,11,10,10,8
45,"No","Travel_Rarely",954,"Sales",2,2,"Technical Degree",783,2,"Male",46,1,2,"Sales Representative",3,"Single",6632,12388,0,"No",13,3,1,0,9,3,3,8,7,3,1
35,"No","Travel_Rarely",1490,"Research & Development",11,4,"Medical",2003,4,"Male",43,3,1,"Laboratory Technician",3,"Married",2660,20232,7,"Yes",11,3,3,1,5,3,3,2,2,2,2
38,"No","Travel_Rarely",1333,"Research & Development",1,3,"Technical Degree",950,4,"Female",80,3,3,"Research Director",1,"Married",13582,16292,1,"No",13,3,2,1,15,3,3,15,12,5,11
30,"No","Travel_Rarely",153,"Research & Development",8,2,"Life Sciences",1015,2,"Female",73,4,3,"Research Director",1,"Married",11416,17802,0,"Yes",12,3,3,3,9,4,2,8,7,1,7
36,"No","Travel_Rarely",1278,"Human Resources",8,3,"Life Sciences",878,1,"Male",77,2,1,"Human Resources",1,"Married",2342,8635,0,"No",21,4,3,0,6,3,3,5,4,0,3
31,"No","Travel_Rarely",616,"Research & Development",12,3,"Medical",961,4,"Female",41,3,2,"Healthcare Representative",4,"Married",5855,17369,0,"Yes",11,3,3,2,10,2,1,9,7,8,5
49,"No","Travel_Rarely",174,"Sales",8,4,"Technical Degree",1138,4,"Male",56,2,4,"Sales Executive",2,"Married",13120,11879,6,"No",17,3,2,1,22,3,3,9,8,2,3
29,"No","Travel_Rarely",1246,"Sales",19,3,"Life Sciences",1497,3,"Male",77,2,2,"Sales Executive",3,"Divorced",8620,23757,1,"No",14,3,3,2,10,3,3,10,7,0,4
26,"No","Travel_Rarely",390,"Research & Development",17,4,"Medical",1718,4,"Male",62,1,1,"Laboratory Technician",3,"Married",2305,6217,1,"No",15,3,3,3,3,3,4,3,2,0,2
